"county_state","county","state","total_pop","asian_pop","crime_total","crime_rate","rank_total","rank_rate","log_total","log_rate","x1","y1","x2","y2"
"Will, Illinois","Will","Illinois",696355,42849,5,1.166888375,151,170,1.79175946922805,0.773292209921516,35,1.79175946922805,1.79175946922805,0.773292209921516
"Somerset, New Jersey","Somerset","New Jersey",345361,67309,5,0.74284271,151,180,1.79175946922805,0.555517521502068,36,1.79175946922805,1.79175946922805,0.555517521502068
"Spokane, Washington","Spokane","Washington",539339,12654,6,4.741583689,140,56,1.94591014905531,1.74773507628393,37,1.94591014905531,1.94591014905531,1.74773507628393
"Alachua, Florida","Alachua","Florida",278468,18076,6,3.319318433,140,87,1.94591014905531,1.46309761967011,38,1.94591014905531,1.94591014905531,1.46309761967011
"Clackamas, Oregon","Clackamas","Oregon",421401,20699,6,2.898690758,140,99,1.94591014905531,1.36064079369779,39,1.94591014905531,1.94591014905531,1.36064079369779
"Merced, California","Merced","California",281202,20715,6,2.896451846,140,100,1.94591014905531,1.36006635595487,40,1.94591014905531,1.94591014905531,1.36006635595487
"Atlantic, New Jersey","Atlantic","New Jersey",274534,21784,6,2.754315094,140,104,1.94591014905531,1.32290587017736,41,1.94591014905531,1.94591014905531,1.32290587017736
"Polk, Iowa","Polk","Iowa",492401,24510,6,2.447980416,140,117,1.94591014905531,1.23778867297093,42,1.94591014905531,1.94591014905531,1.23778867297093
"Oklahoma, Oklahoma","Oklahoma","Oklahoma",796292,28178,6,2.129320747,140,133,1.94591014905531,1.14081596726315,43,1.94591014905531,1.94591014905531,1.14081596726315
"Henrico, Virginia","Henrico","Virginia",334389,32296,6,1.857815209,140,141,1.94591014905531,1.05005741996453,44,1.94591014905531,1.94591014905531,1.05005741996453
"Union, New Jersey","Union","New Jersey",575345,32434,6,1.849910588,140,143,1.94591014905531,1.04728762115685,45,1.94591014905531,1.94591014905531,1.04728762115685
"Bucks, Pennsylvania","Bucks","Pennsylvania",646538,35216,6,1.703771013,140,149,1.94591014905531,0.994647470053359,46,1.94591014905531,1.94591014905531,0.994647470053359
"Kern, California","Kern","California",909235,46777,6,1.28268166,140,168,1.94591014905531,0.825350918490881,47,1.94591014905531,1.94591014905531,0.825350918490881
"Tulare, California","Tulare","California",473117,17194,7,4.071187624,131,68,2.07944154167984,1.62357503553682,48,2.07944154167984,2.07944154167984,1.62357503553682
"Onondaga, New York","Onondaga","New York",476516,20235,7,3.459352607,131,83,2.07944154167984,1.49500360011474,49,2.07944154167984,2.07944154167984,1.49500360011474
"Montgomery, Texas","Montgomery","Texas",620443,21830,7,3.206596427,131,90,2.07944154167984,1.43665387107893,50,2.07944154167984,2.07944154167984,1.43665387107893
"Dakota, Minnesota","Dakota","Minnesota",439882,24118,7,2.90239655,131,98,2.07944154167984,1.36159086440779,51,2.07944154167984,2.07944154167984,1.36159086440779
"Seminole, Florida","Seminole","Florida",470856,25615,7,2.732773765,131,105,2.07944154167984,1.31715159402415,52,2.07944154167984,2.07944154167984,1.31715159402415
"Davidson, Tennessee","Davidson","Tennessee",715884,27869,7,2.511751408,131,111,2.07944154167984,1.2561148896685,53,2.07944154167984,2.07944154167984,1.2561148896685
"Shelby, Tennessee","Shelby","Tennessee",929744,28149,7,2.486766848,131,112,2.07944154167984,1.24897490225188,54,2.07944154167984,2.07944154167984,1.24897490225188
"Virginia Beach city, Virginia","Virginia Beach city","Virginia",459470,34305,7,2.040518875,131,136,2.07944154167984,1.11202818341931,55,2.07944154167984,2.07944154167984,1.11202818341931
"Worcester, Massachusetts","Worcester","Massachusetts",862111,46421,7,1.507938218,131,156,2.07944154167984,0.919460988495961,56,2.07944154167984,2.07944154167984,0.919460988495961
"Ada, Idaho","Ada","Idaho",494967,13929,8,5.743413023,121,38,2.19722457733622,1.90856617998991,57,2.19722457733622,2.19722457733622,1.90856617998991
"Jackson, Missouri","Jackson","Missouri",717204,15201,8,5.262811657,121,44,2.19722457733622,1.83462923076154,58,2.19722457733622,2.19722457733622,1.83462923076154
"Thurston, Washington","Thurston","Washington",294793,17268,8,4.632846884,121,58,2.19722457733622,1.72861497757971,59,2.19722457733622,2.19722457733622,1.72861497757971
"Douglas, Nebraska","Douglas","Nebraska",584526,27827,8,2.874905667,121,101,2.19722457733622,1.35452131850899,60,2.19722457733622,2.19722457733622,1.35452131850899
"Camden, New Jersey","Camden","New Jersey",523485,32598,8,2.454138291,121,116,2.19722457733622,1.23957301685003,61,2.19722457733622,2.19722457733622,1.23957301685003
